Make,Model,CO2 Emissions(g/km)
ACURA,ILX,196
ACURA,ILX HYBRID,136
ACURA,MDX 4WD,255
ACURA,RDX AWD,244
ACURA,RLX,230
ACURA,TL,232
ACURA,TL AWD,255
ACURA,TSX,212
ALFA ROMEO,4C,193
ASTON MARTIN,DB9,359
ASTON MARTIN,RAPIDE,359
ASTON MARTIN,V8 VANTAGE,338
ASTON MARTIN,V8 VANTAGE S,338
ASTON MARTIN,VANQUISH,359
AUDI,A4,202
AUDI,A4 QUATTRO,230
AUDI,A5 CABRIOLET QUATTRO,230
AUDI,A5 QUATTRO,230
AUDI,A6 QUATTRO,235
AUDI,A6 QUATTRO TDI (modified),217
AUDI,A7 QUATTRO,262
AUDI,A7 QUATTRO TDI (modified),217
AUDI,A8,258
AUDI,A8 TDI (modified),224
AUDI,A8L,258
AUDI,A8L TDI (modified),224
AUDI,ALLROAD QUATTRO,242
AUDI,Q5,239
AUDI,Q5 TDI (modified),244
AUDI,Q5 HYBRID,212
AUDI,Q7,304
AUDI,Q7 TDI (modified),290
AUDI,R8,336
AUDI,R8 SPYDER,336
AUDI,RS 5,306
AUDI,RS 5 CABRIOLET,308
AUDI,RS 7,293
AUDI,S4,262
AUDI,S5,262
AUDI,S5 CABRIOLET,267
AUDI,S6,281
AUDI,S7,281
AUDI,S8,300
AUDI,SQ5,292
AUDI,TT COUPE QUATTRO,209
AUDI,TT ROADSTER QUATTRO,209
AUDI,TTS COUPE QUATTRO,237
AUDI,TTS ROADSTER QUATTRO,237
BENTLEY,CONTINENTAL GT,314
BENTLEY,CONTINENTAL GTC,332
BENTLEY,CONTINENTAL GT SPEED CONVERTIBLE,380
BENTLEY,FLYING SPUR,388
BENTLEY,MULSANNE,437
BMW,320i,193
BMW,320i xDRIVE,202
BMW,328d xDRIVE,181
BMW,328d xDRIVE TOURING,181
BMW,328i,193
BMW,328i xDRIVE,209
BMW,328i xDRIVE GRAN TURISMO,209
BMW,328i xDRIVE TOURING,209
BMW,335i,221
BMW,335i xDRIVE,228
BMW,335i xDRIVE GRAN TURISMO,232
BMW,428i COUPE,193
BMW,428i xDRIVE COUPE,209
BMW,435i COUPE,221
BMW,435i xDRIVE COUPE,228
BMW,528i,202
BMW,528i xDRIVE,209
BMW,535d xDRIVE,213
BMW,535i xDRIVE,232
BMW,535i xDRIVE GRAN TURISMO,246
BMW,550i xDRIVE,281
