Make,Model,CO2 Emissions(lbs/mile)
ACURA,ILX,0.268551128
ACURA,ILX HYBRID,0.186341599
ACURA,MDX 4WD,0.349390499
ACURA,RDX AWD,0.334318752
ACURA,RLX,0.315136528
ACURA,TL,0.317876846
ACURA,TL AWD,0.349390499
ACURA,TSX,0.290473669
ALFA ROMEO,4C,0.264440652
ASTON MARTIN,DB9,0.491887016
ASTON MARTIN,RAPIDE,0.491887016
ASTON MARTIN,V8 VANTAGE,0.46311368
ASTON MARTIN,V8 VANTAGE S,0.46311368
ASTON MARTIN,VANQUISH,0.491887016
AUDI,A4,0.276772081
AUDI,A4 QUATTRO,0.315136528
AUDI,A5 CABRIOLET QUATTRO,0.315136528
AUDI,A5 QUATTRO,0.315136528
AUDI,A6 QUATTRO,0.321987322
AUDI,A6 QUATTRO TDI (modified),0.297324463
AUDI,A7 QUATTRO,0.35898161
AUDI,A7 QUATTRO TDI (modified),0.297324463
AUDI,A8,0.353500975
AUDI,A8 TDI (modified),0.306915575
AUDI,A8L,0.353500975
AUDI,A8L TDI (modified),0.306915575
AUDI,ALLROAD QUATTRO,0.331578434
AUDI,Q5,0.327467957
AUDI,Q5 TDI (modified),0.334318752
AUDI,Q5 HYBRID,0.290473669
AUDI,Q7,0.416528281
AUDI,Q7 TDI (modified),0.397346057
AUDI,R8,0.460373363
AUDI,R8 SPYDER,0.460373363
AUDI,RS 5,0.419268598
AUDI,RS 5 CABRIOLET,0.422008916
AUDI,RS 7,0.401456534
AUDI,S4,0.35898161
AUDI,S5,0.35898161
AUDI,S5 CABRIOLET,0.365832404
AUDI,S6,0.385014628
AUDI,S7,0.385014628
AUDI,S8,0.411047645
AUDI,SQ5,0.400086375
AUDI,TT COUPE QUATTRO,0.286363193
AUDI,TT ROADSTER QUATTRO,0.286363193
AUDI,TTS COUPE QUATTRO,0.32472764
AUDI,TTS ROADSTER QUATTRO,0.32472764
BENTLEY,CONTINENTAL GT,0.430229869
BENTLEY,CONTINENTAL GTC,0.454892728
BENTLEY,CONTINENTAL GT SPEED CONVERTIBLE,0.520660351
BENTLEY,FLYING SPUR,0.531621621
BENTLEY,MULSANNE,0.598759403
BMW,320i,0.264440652
BMW,320i xDRIVE,0.276772081
BMW,328d xDRIVE,0.247998746
BMW,328d xDRIVE TOURING,0.247998746
BMW,328i,0.264440652
BMW,328i xDRIVE,0.286363193
BMW,328i xDRIVE GRAN TURISMO,0.286363193
BMW,328i xDRIVE TOURING,0.286363193
BMW,335i,0.302805099
BMW,335i xDRIVE,0.31239621
BMW,335i xDRIVE GRAN TURISMO,0.317876846
BMW,428i COUPE,0.264440652
BMW,428i xDRIVE COUPE,0.286363193
BMW,435i COUPE,0.302805099
BMW,435i xDRIVE COUPE,0.31239621
BMW,528i,0.276772081
BMW,528i xDRIVE,0.286363193
BMW,535d xDRIVE,0.291843828
BMW,535i xDRIVE,0.317876846
BMW,535i xDRIVE GRAN TURISMO,0.337059069
BMW,550i xDRIVE,0.385014628
BMW,550i xDRIVE GRAN TURISMO,0.400086375
BMW,640i xDRIVE GRAN COUPE,0.317876846
BMW,650i xDRIVE CABRIOLET,0.400086375
BMW,650i xDRIVE COUPE,0.385014628
BMW,650i xDRIVE GRAN COUPE,0.400086375
BMW,740Li xDRIVE,0.337059069
BMW,750i xDRIVE,0.400086375
BMW,750Li xDRIVE,0.400086375
BMW,760Li,0.487776539
BMW,ACTIVEHYBRID 3,0.261700334
BMW,ACTIVEHYBRID 5,0.293213987
BMW,ACTIVEHYBRID 7L,0.290473669
BMW,ALPINA B7 xDRIVE LWB,0.400086375
BMW,ALPINA B7 xDRIVE SWB,0.400086375
BMW,M5,0.46311368
BMW,M6,0.46311368
BMW,M6 CABRIOLET,0.46311368
BMW,M6 GRAN COUPE,0.46311368
BMW,X1 xDRIVE28i,0.286363193
BMW,X1 xDRIVE35i,0.356241293
BMW,X3 xDRIVE28i,0.315136528
BMW,X3 xDRIVE35i,0.346650181
BMW,X5 xDRIVE35i,0.349390499
BMW,X5 xDRIVE50i,0.438450822
BMW,X6 M,0.506958763
BMW,X6 xDRIVE35i,0.375423516
BMW,X6 xDRIVE50i,0.443931457
BMW,Z4 sDRIVE28i,0.286363193
BMW,Z4 sDRIVE35i,0.380904151
BMW,Z4 sDRIVE35is,0.380904151
BUICK,ENCLAVE,0.387754945
BUICK,ENCLAVE AWD,0.397346057
BUICK,ENCORE,0.268551128
BUICK,ENCORE AWD,0.290473669
BUICK,LACROSSE,0.361721928
BUICK,LACROSSE AWD,0.361721928
BUICK,LACROSSE eASSIST,0.258960017
BUICK,REGAL,0.31239621
BUICK,REGAL AWD,0.337059069
BUICK,REGAL eASSIST,0.258960017
BUICK,VERANO,0.31239621
CADILLAC,ATS,0.302805099
CADILLAC,ATS AWD,0.317876846
CADILLAC,CTS COUPE,0.353500975
CADILLAC,CTS COUPE AWD,0.35898161
CADILLAC,CTS SEDAN,0.317876846
CADILLAC,CTS SEDAN AWD,0.339799387
CADILLAC,CTS SEDAN Vsport,0.402826692
CADILLAC,CTS SPORT WAGON,0.346650181
CADILLAC,CTS SPORT WAGON AWD,0.349390499
CADILLAC,CTS-V COUPE,0.523400668
CADILLAC,CTS-V SEDAN,0.523400668
CADILLAC,CTS-V SPORT WAGON,0.523400668
CADILLAC,ESCALADE AWD,0.46311368
CADILLAC,ESCALADE ESV AWD,0.516549874
CADILLAC,SRX,0.387754945
CADILLAC,SRX AWD,0.402826692
CADILLAC,XTS,0.35898161
CADILLAC,XTS AWD,0.37131304
CADILLAC,XTS Vsport AWD,0.397346057
CHEVROLET,CAMARO,0.353500975
CHEVROLET,CAMARO 2LS,0.331578434
CHEVROLET,CAMARO SS,0.402826692
CHEVROLET,CAMARO ZL1,0.523400668
CHEVROLET,CORVETTE,0.378163834
CHEVROLET,CRUZE,0.245258428
CHEVROLET,CRUZE DIESEL,0.263070493
CHEVROLET,CRUZE ECO,0.242518111
CHEVROLET,EQUINOX,0.286363193
CHEVROLET,EQUINOX AWD,0.315136528
CHEVROLET,EXPRESS 1500 CARGO,0.47544511
